English Word,Persian Translation,Encyclopedia Translation,User Suggestion
degenerate distribution,توزیع تباهیده,,
degenerate eigenvalue,ویژه‏مقدار تباهیده,,
degenerate ellipse,بیضی تباهیده,,
degenerate hyperbola,هذلولی تباهیده,,
degenerate kernel,هستۀ تباهیده,,
degenerate mapping,نگاشت تباهیده,,
degenerate parabola,سهمی تباهیده,,
degenerate quadric surface,رویۀ درجۀ دوم تباهیده,,
degenerate saddle point,نقطۀ زینی تباهیده,,
degenerate series,سری تباهیده,,
degree,درجه,,
degree of a vertex = valence of a vertex = valency of a vertex,درجۀ رأس,,
degree of freedom,درجۀ آزادی,,
Dehn lemma,لم دن,,
del operator,عملگر دل,,
Delambre analogies,قیاس‌های دلامبر,,
delay differential equation,معادلۀ دیفرانسیل تأخیری,,
deleted limit,حدّ سوده,,
deleted neighborhood,همسایگی سوده,,
delta function → Dirac delta function,,,
deltoid,دلتاگون,,
Denjoy integrals,انتگرال‌های دانژوا,,
denominator,مخرج (کسر),,
dense set,مجموعۀ چگال,,
densely defined operator,عملگر چگال‏دامنه,,
density function,تابع چگالی,,
denumerable set 1,مجموعۀ شمارا,,
denumerable set 2,مجموعۀ شمارای نامتناهی,,
dependent events,پیشامدهای وابسته,,
dependent functions = interdependent functions,تابع‌های وابسته,,
dependent variable,متغیر وابسته,,
depth line,خط ژرفا,,
depth of an ideal,ژرفای ایده‏آل,,
derangements number,تعداد پریش‌ها,,
derivable in the general sense,مشتق‌‌پذیر به مفهوم عام,,
derivable in the ordinary sense,مشتق‌‌پذیر به مفهوم معمولی,,
derivation 1,اشتقاق,,
derivation 2,استنتاج,,
derivative = differential coefficient = differential quotient,مشتق,,
derivative function = derived function,تابع مشتق,,
derivative of an integral,مشتق انتگرال,,
derived curve,خم مشتق,,
derived function → derivative function,,,
derived series,رشتۀ مشتق,,
derived set,مجموعۀ مشتق,,
derived subgroup,زیرگروه مشتق,,
derived unit,واحد فرعی,,
Desargues geometry → Desarguesian geometry,,,
Desargues theorem,قضیۀ دزارگ,,
Desarguesian geometry = Desargues geometry,هندسۀ دزارگی,,
Descartes rule of signs → Descartes theorem,,,
Descartes theorem = Descartes rule of signs,قضیۀ دکارت، قاعدۀ علامت‌های دکارت,,
descendant,تالی,,
descending central series,رشتۀ مرکزی کاهشی,,
descending chain,زنجیر کاهشی,,
descending chain condition,شرط زنجیر کاهشی، شرط زنجیر نزولی,,
descending sequence,دنبالۀ کاهشی,,
descriptive decision theory,نظریۀ توصیفی تصمیم,,
descriptive geometry,هندسۀ ترسیمی,,
descriptive statistics,آمار توصیفی,,
design,طرح,,
design matrix,ماتریس طرح,,
design of an experiment = experimental design,طرح آزمایش,,
detection,آشکارسازی,,
determinant,دترمینان,,
determinant tensor,تانسور دترمینانی,,
determined system,دستگاه معیّن,,
deterministic model,مدل تعیّنی,,
deterministic problems,مسأله‌های تعیّنی,,
deterministic process,فرایند تعیّنی,,
developable surface,رویۀ گستردنی,,
deviation,انحراف,,
deviation points,نقطه‌های انحراف,,
diagonal element,عنصر قطری,,
diagonal expansion,بسط قطری,,
diagonal form,صورت قطری,,
diagonal matrix,ماتریس قطری,,
diagonal method,روش قطری,,
diagonal of a polygon,قطر چندضلعی,,
diagonal partial sum,مجموع جزئی قطری,,
diagonal sum of a matrix,مجموع قطری ماتریس,,
diagonalizable linear transformation,تبدیل خطی قطری‏شدنی,,
diagonalizable matrix,ماتریس قطری‌شدنی,,
diagonalizable operator,عملگر قطری‏شدنی,,
diagonally dominant matrix,ماتریس قطری‌غالب,,
diagram,نمودار,,
diagram of a function,نمودار تابع,,
diameter of a circle,قطر دایره,,
diameter of a conic,قطر مقطع مخروطی,,
diameter of a set in a metric space,قطر مجموعه در فضای متریک,,
dichotomous variable,متغیر دو‏‌حالتی,,
dichotomy,دوحالتی بودن,,
dicyclic group,گروه دودوری,,
diffeomorphic manifolds,خمینه‌های هموارریخت,,
diffeomorphism,هموارریختی,,
difference,تفاضل,,
difference equation,معادلۀ تفاضلی,,
difference group,گروه تفاضلی,,
difference methods = discrete variable methods,روش‌های تفاضلی، روش‏های متغیر گسسته,,
difference of two sets,تفاضل دو مجموعه,,
difference operator,عملگر تفاضل,,
difference quotient,خارج قسمت‌ تفاضلی,,
difference sequence,دنبالۀ تفاضل‌ها,,
difference table,جدول تفاضل‌ها,,
differentiable atlas,اطلس مشتق‌‌پذیر,,
differentiable function 1,تابع مشتق‌‌پذیر,,
differentiable function 2,تابع دیفرانسیل پذیر,,
differentiable manifold,خمینۀ مشتق‌‌پذیر,,
differentiability 1,مشتق‌پذیری,,
differentiability 2,دیفرانسیل‌‌پذیری,,
differential,دیفرانسیل,,
differential and integral calculus,حساب دیفرانسیل و انتگرال، حسابان,,
differential calculus,حساب دیفرانسیل,,
differential coefficient → derivative,,,
differential equation,معادلۀ دیفرانسیل,,
differential form,صورت دیفرانسیل، فرم دیفرانسیل,,
differential geometry,هندسۀ دیفرانسیل,,
differential operator,عملگر دیفرانسیل,,
differential quotient → derivative,,,
differential topology,توپولوژی دیفرانسیل,,
differentiation,مشتق‌گیری,,
differentiation operator,عملگر مشتق‌گیری,,
differentiation transformation,تبدیل مشتق‌گیری,,
diffusion 1,انتشار [آمار],,
diffusion 2,پخش,,
diffusion equation,معادلۀ پخش,,
diffusion process,فرایند انتشار,,
digamma function,تابع دوگاما,,
digit,رقم,,
digital computer = digital device,کامپیوتر رقمی، رایانۀ رقمی,,
digital device → digital computer,,,
digital quantity,کمیت رقمی,,
digraph → directedgraph,,,
dihedral → dihedron,,,
dihedral angle,زاویۀ دووجهی، فرجه,,
dihedral group,گروه دو‏وجهی,,
dihedron = dihedral,دووجهی,,
dilatation,انبساط,,
dilation,اتساع,,
dimension,بُعد,,
dimension function,تابع بُعد,,
dimension theory,نظریۀ بُعد,,
dimensional analysis,تحلیل ابعادی,,
dimensional formula,فرمول ابعادی,,
dimensionality,تعداد ابعاد، بُعدچندی,,
dimensionless number,عدد بی‌بُعد,,
dimetric skew-axonometry = frontal axonometry,محورسنجی کج دوواحدی,,
Dini derivatives,مشتق‌های دینی,,
Dini series,سری دینی,,
Dini surface,رویۀ دینی,,
Dini test,آزمون دینی,,
Diophantine analysis,آنالیز دیوفانتی,,
Diophantine approximation,تقریب دیوفانتی,,
Diophantine equation,معادلۀ دیوفانتی,,
Diophantine geometry,هندسۀ دیوفانتی,,
dipole = doublet,دوقطبی,,
Dirac delta function = delta function,تابع دلتای دیراک، تابع دلتا,,
Dirac distribution,توزیع دیراک,,
Dirac spinor,اسپینور دیراک,,
direct analytic continuation,فرابُرد تحلیلی مستقیم,,
direct decomposition of a group,تجزیۀ مستقیم گروه,,
direct factor of a group,عامل مستقیم گروه,,
direct limit = directed limit,حد سودار,,
direct measurement,اندازه‌گیری مستقیم,,
direct product,حاصل‏ضرب مستقیم,,
direct proof,برهان مستقیم,,
direct proportion = direct proportionality,تناسب مستقیم,,
direct proportionality → direct proportion,,,
direct sum,مجموع مستقیم,,
direct system of sets,دستگاه سودار مجموعه‏ها,,
direct variation,وردش مستقیم، تغییر مستقیم,,
directed angle,زاویۀ سودار,,
directed circle,دایرۀ سودار,,
directed curve,خم سودار,,
directed cycle,دور سودار,,
directed diameter,قطر سودار,,
directed distance,فاصلۀ سودار,,
directed family,خانوادۀ سودار,,
directed graph = digraph,گراف سودار,,
directed Hamiltonian path,مسیر همیلتونی سودار,,
directed limit → direct limit,,,
directed line,خط سودار,,
directed line segment,پاره‌خط سودار,,
directed number → signed number,,,
directed path,مسیر سودار,,
directed set,مجموعۀ سودار,,
directed trail,گذر سودار,,
directed tree,درخت سودار,,
directed walk,گشت سودار,,
direction 1,امتداد,,
direction 2,سو، جهت,,
direction angle,زاویۀ هادی,,
direction cosine,کسینوس هادی,,
direction field,میدان سوها,,
direction number,پارامتر هادی,,
direction vector,بردار هادی,,
directional derivative,مشتق سویی,,
directional hypothesis → one-sided hypothesis,,,
directly congruent figures,شکل‌های مستقیماً همنهشت,,
directly proportional quantities = proportional quantities,کمیت‏های مستقیماً متناسب، کمیت‏های متناسب,,
director circle,دایرۀ هادی,,
director cone,مخروط هادی,,
directrix of a conic,هادی مقطع مخروطی,,
Dirichlet box principle → Dirichlet drawer principle,,,
Dirichlet conditions,شرط‌های دیریکله,,
Dirichlet drawer principle = Dirichlet box principle,اصل خانه‌ای دیریکله,,
Dirichlet integral,انتگرال دیریکله,,
Dirichlet polynomial,چندجمله‏ای‏ دیریکله,,
Dirichlet principle,اصل دیریکله,,
Dirichlet problem,مسألۀ دیریکله,,
Dirichlet process,فرایند دیریکله,,
Dirichlet product,حاصل‏ضرب دیریکله,,
Dirichlet series,سری دیریکله,,
Dirichlet test,آزمون دیریکله,,
Dirichlet transform,تبدیل دیریکله,,
Dirichlet unit theorem,قضیۀ یکال‌های دیریکله,,
disc → disk,,,
disconnected set,مجموعۀ ناهمبند,,
discontinuity 1,ناپیوستگی,,
discontinuity 2 → discontinuity point,,,
discontinuity point = discontinuity 2,نقطۀ ناپیوستگی,,
discontinuous distribution,توزیع ناپیوسته,,
discontinuous function,تابع ناپیوسته,,
discontinuous group,گروه ناپیوسته,,
discontinuum,ناپیوستار,,
discordant sample,نمونۀ ناهماهنگ,,
discrete distribution,توزیع گسسته,,
discrete metric,متریک گسسته,,
discrete metric space,فضای متریک گسسته,,
discrete norm,نُرم گسسته,,
discrete random variable,متغیر تصادفی گسسته,,
discrete set,مجموعۀ گسسته,,
discrete topological space,فضای توپولوژیک گسسته,,
discrete topology,توپولوژی گسسته,,
discrete transform,تبدیل گسسته,,
discrete valuation,ارزۀ گسسته,,
discrete valuation ring,حلقۀ ارزۀ گسسته,,
discrete variable,متغیر گسسته,,
discrete variable methods → difference methods,,,
discretization,گسسته‌سازی,,
discriminant,مبیّن,,
discriminant analysis,تحلیل تمایزی,,
discriminant function,تابع مبیّن,,
discriminant of a polynomial,مبین چندجمله‏ای,,
discriminant of an algebraic number field,مبیّن میدان اعداد جبری,,
disjoint sets,مجموعه‌های مجزا,,
disjointness preserving map,نگاشت حافظ جدایی,,
disjunct,فصل‏وند,,
disjunction = alternation,ترکیب فصلی,,
disjunction of propositions,ترکیب فصلی گزاره‌ها,,
disjunctive normal form,صورت نرمال فصلی,,
disjunctive syllogism,قیاس فصلی,,
disk = disc,قرص,,
disk algebra,جبر قرصی,,
disk method,روش قرصی,,
dispersion,پراکندگی,,
dispersion analysis → analysis of variance,,,
dispersion index,شاخص پراکندگی,,
dispersion matrix,ماتریس پراکندگی,,
displacement,تغییرمکان,,
displacement constant,ثابت تغییرمکان,,
displacement vector,بردار تغییرمکان,,
dissimilar terms,جمله‌های نامتشابه,,
dissipative operator,عملگر کاهنده,,
distance,فاصله,,
distance function,تابع فاصله,,
distinct system of parameters,دستگاه متمایز پارامترها,,
distortion inequalities,نابرابری‌های دگرشکلی,,
distortion theorem,قضیۀ دگرشکلی,,
distribution 1,[آمار]توزیع,,
distribution 2,تابع تعمیم‌یافته,,
distribution curve,خم توزیع,,
distribution derivative,مشتق تابع تعمیم‌یافته,,
distribution free method,روش آزاد توزیع,,
distribution function,تابع توزیع,,
distributive lattice,مشبّکۀ توزیع‌پذیر,,
distributive law,قانون توزیع‌پذیری,,
distributivity,توزیع‌پذیری,,
divergence 1,واگرایی,,
divergence 2,دیورژانس,,
divergence of a vector field,دیورژانس میدان برداری,,
divergence theorem,قضیۀ دیورژانس,,
divergent integral,انتگرال واگرا,,
divergent sequence,دنبالۀ واگرا,,
divergent series,سری واگرا,,
divergently parallel lines,خط‌های واگراموازی,,
divided differences,تفاضل‌های منقسم,,
dividened,مقسوم,,
divisibility,تقسیم‌پذیری، بخش‏پذیری,,
divisibility relation,رابطۀ تقسیم‌پذیری,,
divisible element,عنصر تقسیم‌پذیر,,
divisible group,گروه تقسیم‏پذیر,,
divisible module,مدول تقسیم‌پذیر,,
divisible subgroup,زیرگروه تقسیم‌پذیر,,
division,تقسیم,,
division algebra,جبر تقسیمی,,
division algorithm,الگوریتم تقسیم,,
division ring,حلقۀ تقسیمی,,
divisor,مقسوم‌علیه,,
divisor of zero = zero divisor,مقسوم‌علیه صفر,,
dodecagon,دوازده‌ضلعی,,
dodecahedral group,گروه دوازده‏وجهی,,
dodecahedron,دوازده‏وجهی,,
domain,دامنه، حوزه,,
domain of (definition) of a function,دامنۀ (تعریف) تابع,,
domain of attraction = basin of attraction,دامنۀ ربایش,,
domain of discourse → universe of discourse,,,
domain of holomorphy,دامنۀ تمام‌ریختی,,
domain of influence,دامنۀ نفوذ,,
domain of variability,دامنۀ تغییرپذیری,,
dominant sequence = majorant sequence,دنبالۀ غالب,,
dominant vector,بردار غالب,,
dominated convergence theorem,قضیۀ همگرایی مغلوب,,
dominating integral,انتگرال غالب,,
dominating series,سری غالب,,
domination principle = Cartan maximum principle,اصل غلبه، اصل ماکسیمم کارتان,,
dot diagram,نمودار نقطه‌ای,,
dot product 1,ضرب نقطه‌ای,,
dot product 2,حاصل‏ضرب نقطه‌ای,,
double angle formulas,فرمول‌های دوبرابر زاویه,,
double complex → bicomplex,,,
double cusp,تیزۀ دوگانه,,
double exponential distribution,توزیع نمایی دوگانه,,
double integral,انتگرال دوگانه,,
double limit,حد دوگانه,,
double mathematical induction,استقرای دوگانۀ ریاضی,,
double point,نقطۀ دوگانه,,
double ratio → anharmonic ratio,,,
double root,ریشۀ دوگانه، ریشۀ مضاعف,,
double sampling,نمونه‌گیری دوگانه,,
double sampling plan,طرح نمونه‌گیری دوگانه,,
double sampling procedure,شیوۀ نمونه‌گیری دوگانه,,
double sequence,دنبالۀ دوگانه,,
double series,سری دوگانه,,
double tangent,مماس دوگانه,,
double valued function,تابع دومقداری,,
doublet → dipole,,,
doubling of a cube = duplication of cube,تضعیف مکعب,,
doubly infinite series,سری دوسونامتناهی,,
doubly periodic function,تابع دودوره‌ای,,
doubly transitive permutation group,گروه جایگشتی دوگانه‌ترایا,,
downward bias,پایین‌اریبی,,
drift,رانش,,
dual,دوگان,,
dual basis,پایۀ دوگان,,
dual bundle,کلاف دوگان,,
dual category,رستۀ دوگان,,
dual cell,خانۀ دوگان,,
dual code,دوگان‌کد,,
dual curve,خم دوگان,,
dual figure,شکل دوگان,,
dual graph,گراف دوگان,,
dual group,گروه دوگان,,
dual homomorphism,همریختی دوگان,,
dual isomorphism,یکریختی دوگان,,
dual lattice,مشبّکۀ دوگان,,
dual module,مدول دوگان,,
dual operation,عمل دوگان,,
dual operator,عملگر دوگان,,
dual space,فضای دوگان,,
dual tensor,تانسور دوگان,,
dual variables,متغیرهای دوگان,,
duality,دوگانی,,
duality in space,دوگانی در فضا,,
duality mapping,نگاشت دوگانی,,
duality of polyhedra,دوگانی چندوجهی‌ها,,
duality principle = principle of duality,اصل دوگانی,,
duality property,ویژگی دوگانی,,
duality theorem,قضیۀ دوگانی,,
Duhem's problem,مسئلۀ دوئم,,
dummy index of a tensor,اندیس ظاهری تانسور,,
dummy variable,متغیر ظاهری,,
duplication of cube → doubling of a cube,,,
dyadic expansion,بسط دودویی,,
dyadic number system → binary number system,,,
dynamic equilibrium,تعادل دینامیکی,,
dynamic model,مدل پویا,,
dynamic optimization,بهینه‌سازی پویا,,
dynamic programming,برنامه‌ریزی پویا,,
dynamical system,دستگاه دینامیکی,,
dynamics,دینامیک,,
eccentric angle,زاویۀ مرکزگریزی,,
eccentric circles,دایر‌ه‌های مرکزگریزی,,
eccentric sequence,دنبالۀ مرکزگریزی,,
eccentric set,مجموعۀ مرکزگریزی,,
eccentricity,مرکزگریزی، خروج از مرکز,,
echelon form,صورت پلکانی,,
echelon matrix,ماتریس پلکانی,,
ecliptic,دایرۀ البروج,,
econometrics,اقتصادسنجی,,
edge,یال,,
edge graph = line graph,گراف یالی,,
edges of a graph = lines of a graph,یال‌های گراف,,
effect,اثر,,
effective constructability,ساخت‏پذیری مؤثر,,
effective transformation group,گروه تبدیلی مؤثر,,
efficiency,کارایی,,
efficient estimator,برآوردگرکارا,,
E-function,تابع نمایی,,
Egorov theorem,قضیۀ ییگوروف,,
eigenelement → eigenvector,,,
eigenfunction,ویژه‏تابع,,
eigenfunction expansion,بسط ویژه‌تابعی,,
eigenmatrix,ویژه‏‌ماتریس,,
eigenvalue = proper value = latent root,ویژه‌مقدار,,
eigenvalue equation,معادلۀ ویژه‌مقدارها,,
eigenvector = eigenelement = proper vector = characteristic solution = latent vector,ویژه‏بردار,,
Einstein convention,قرارداد اینشتین,,
Einstein equivalence principle,اصل هم‌ارزی اینشتین,,
Einstein series,سری اینشتین,,
Einstein space,فضای اینشتین,,
elastic body,جسم کشسان,,
elastic force,نیروی کشسان,,
elasticity,کشسانی,,
electric circuit,مدار الکتریکی,,
electric force,نیروی الکتریکی,,
electric network,شبکۀ الکتریکی,,
electromagnetic interaction,برهم‏کنش الکترومغناطیسی,,
electromagnetic wave,موج الکترومغناطیسی,,
electromagnetism,الکترومغناطیس,,
electronic computer,رایانۀ الکتریکی، کامپیوتر الکتریکی,,
element 1,عنصر,,
element 2,جزء,,
element of a determinant,عنصر دترمینان,,
element of a matrix,عنصر ماتریس,,
element of a set,عنصرمجموعه,,
element of arc,جزء کمان,,
element of area → area element,,,
element of integration,جزء انتگرال، جزء انتگرال‌گیری,,
element of mass,جزء جرم,,
elementary column operations,عمل‏های ستونی مقدماتی,,
elementary event → simple event,,,
elementary functions,تابع‏های مقدماتی,,
elementary geometry,هندسۀ مقدماتی,,
elementary matrix,ماتریس مقدماتی,,
elementary particle,ذرۀ بنیادی,,
elementary row operations,عمل‏های سطری مقدماتی,,
elevation 1,ارتفاع,,
elevation 2,فراز,,
elevation 3,ترفیع,,
elimination,حذف,,
elimination method,روش حذفی,,
ellipse,بیضی,,
ellipsoid,بیضی‌وار,,
ellipsoid coordinates,مختصات بیضی‌واری,,
ellipsoid of inertia,بیضی‌وار لختی,,
ellipsoid of revolution,بیضی‌وار دوّار، بیضی‌وار دورانی,,
ellipsoidal harmonic function,تابع همساز بیضی‌واری,,
elliptic coordinates,مختصات بیضوی,,
elliptic curve,خم بیضوی,,
elliptic cylinder,استوانۀ بیضوی,,
elliptic cylinder function,تابع استوانه‌ای بیضوی,,
elliptic cylindrical surface,رویۀ استوانه‌ای بیضوی,,
elliptic differential equation,معادلۀ دیفرانسیل بیضوی,,
elliptic differential geometry,هندسۀ دیفرانسیل بیضوی,,
elliptic function,تابع بیضوی,,
elliptic geometry,هندسۀ بیضوی,,
elliptic integral,انتگرال بیضوی,,
elliptic irrational function,تابع گنگ بیضوی,,
elliptic modular group,گروه پیمانه‌ای بیضوی,,
elliptic operator,عملگر بیضوی,,
elliptic paraboloid,سهمی‌وار بیضوی,,
elliptic point,نقطۀ بیضوی,,
elongation of a vector,کشیدگی بردار,,
embeddable space,فضای نشاندنی,,
embedded chain,زنجیر نشانده,,
embedded Markov chain,زنجیر مارکوف نشانده,,
embedded process,فرایند نشانده,,
embedding 1,نشاننده,,
embedding 2,نشاندن، نشانش,,
embedding dimension,بُعد نشانش,,
embedding theorem=imbedding theorem,قضیۀ نشاندن,,
emission theory,نظریۀ گسیل,,
empirical constants,ثابت‌های تجربی,,
empirical distribution function,تابع توزیع تجربی,,
empirical formula,فرمول تجربی,,
empty graph → null graph,,,
empty set = null set = void set,مجموعۀ تهی,,
end point = terminal point,نقطۀ انتهایی,,
endomorphism,درون‌ریختی,,
endomorphism ring → ring of endomorphisms,,,
energy,انرژی,,
energy integral,انتگرال انرژی,,
energy principle,اصل انرژی,,
Enneper equations → equations of Enneper,,,
Enriques surface,رویۀ انریکوئس,,
entire function = integral function,تابع تام,,
entire linear transformation,تبدیل خطی تام,,
entire ring,حلقه تام,,
entire series,سری تام,,
entropy,آنتروپی,,
entropy of a partition,آنتروپی افراز,,
entropy of a transformation,آنتروپی تبدیل,,
entropy of an endomorphism,آنتروپی درون‌ریختی,,
entry,درایه,,
entry of a determinant,درایۀ دترمینان,,
entry of a matrix = component of a matrix,درایۀ ماتریس,,
enumerable set,مجموعۀ شمارا,,
enumeration problem,مسألۀ شمارش,,
enumeration theorem,قضیۀ شمارش,,
envelope,پوش,,
epicycloid,برون‌چرخ‌زاد,,
epimorphism,بروریختی,,
epitrochoid,برون چرخه‌زاد,,
equal precision measurement,اندازه‏گیری با دقت ثابت,,
equal sets,مجموعه‌های برابر,,
equality,برابری، تساوی,,
equality sign,علامت برابری,,
equally likely events,پیشامدهای هم‏شانس,,
equation 1,معادله,,
equation 2,برابری,,
equation of continuity → continuity equation,,,
equation of heat conduction,معادلۀ رسانش گرما,,
equation of motion,معادلۀ حرکت,,
equations of Enneper = Enneper equations,معادله‌های انپر,,
equator,خط استوا,,
equatorial quantum number,عدد کوانتومی استوایی,,
equiangular polygon,چندضلعی برابرزاویه,,
equiangular spiral,مارپیچ برابرزاویه,,
equiangular transformation → isogonal transformation,,,
equiconinuous functions,تابع‏های هم‌پیوسته,,
equicontinuity,هم‏پیوستگی,,
equicontinuous family of functions,خانوادۀ هم‌پیوستۀ تابع‌ها,,
equidistant hypersurface,ابررویۀ هم‌فاصله,,
equilateral hyperbola,هذلولی متساوی‌الساقین,,
equilateral hyperbolic coordinates,مختصات هذلولوی متساوی‌الساقین,,
equilateral triangle,متلت متساوی‌الاضلاع,,
equilibrium,تعادل,,
equilibrium distribution,توزیع تعادلی,,
equinoctial point=equinox,نقطۀ اعتدال,,
equinox → equinoctial point,,,
equinumerable sets → equivalent sets,,,
equinumerous sets,مجموعه‏های هم‏عدد,,
equipollent sets → equivalent sets,,,
equipotent sets,مجموعه‌های هم‏توان,,
equipotential surface,رویۀ هم‏پتانسیل,,
equivalence class,ردۀ هم‌ارزی,,
equivalence of algorithms,هم‏ارزی الگوریتم‏ها,,
equivalence of automata,هم‏ارزی اتومات‏ها,,
equivalence of ideals,هم‌ارزی ایده‏آل‏ها,,
equivalence relation,رابطۀ هم‌ارزی,,
equivalent affinities,تبدیل‌های آفین هم‌ارز,,
equivalent equations,معادله‌های هم‌ارز,,
equivalent fractions,کسرهای هم‌ارز,,
equivalent inequalities,نامعادله‌های هم‌ارز,,
equivalent matrices,ماتریس‏های هم‌ارز,,
equivalent sets = equipollent sets= equinumerable sets,مجموعه‌های هم‌ارز,,
equivalent transformations,تبدیل‏های هم‌ارز,,
ergodic Markov chain,زنجیر مارکوف ارگودیک,,
ergodic theory,نظریۀ ارگودیک,,
Erlangen program = Erlanger program,برنامۀ ارلانگن,,
Erlanger program → Erlangen program,,,
error,خطا,,
error analysis,تحلیل خطا,,
error correcting code = error corrcction code,کد تصحیح خطا,,
error correction code → error correcting code,,,
error detecting code = error detection code,کد کشف خطا,,
error detection code → error detecting code,,,
error function,تابع خطا,,
error of measurement,خطای اندازه‌گیری,,
error of the first kind = error of type I = type I error,خطای نوع اول,,
error of the second kind = error of type II= type II error,خطای نوع دوم,,
error of type I → error of the first kind,,,
error of type II → error of the second kind,,,
error space,فضای خطا,,
error sum of squares,مجموع توان‌های دوم خطاها، مجموع مربعات خطاها,,
error term,جملۀ خطا,,
errors of input data,خطاهای داده‌های ورودی,,
escribed circle = excircle,دایرۀ محاطی خارجی,,
essential constant,ثابت اساسی,,
essential discontinuity,ناپیوستگی اساسی,,
essential singularity,تکینۀ اساسی,,
essential spectrum,طیف اساسی,,
essential support,تکیه‌گاه اساسی,,
essential supremum,سوپریمم اساسی,,
essentially bounded measurable function,تابع اندازه‌پذیر اساساً کراندار,,
essentially complete class,ردۀ اساساً کامل,,
estimable parameter,پارامتر برآوردپذیر,,
estimand,برآوردنی,,
estimate,برآورد,,
estimate of error,برآورد خطا,,
estimation,برآورد (کردن),,
estimation of accuracy,برآورد درستی,,
estimation space,فضای برآورد,,
estimator,برآوردگر,,
Euclid axiom,اصل موضوع اقلیدس,,
Euclidean algorithm,الگوریتم اقلیدسی,,
Euclidean distance,فاصلۀ اقلیدسی,,
Euclidean domain,دامنۀ اقلیدسی,,
Euclidean geometry,هندسۀ اقلیدسی,,
Euclidean plane,صفحۀ اقلیدسی,,
Euclidean ring,حلقۀ اقلیدسی,,
Euclidean space,فضای اقلیدسی,,
Euclidean vector space,فضای برداری اقلیدسی,,
Euler angles,زاویه‌های اویلر,,
Euler characteristic,مشخصۀ اویلر,,
Euler constant,ثابت اویلر,,
Euler criterion,معیاراویلر,,
Euler equation,معادلۀ اویلر,,
Euler formula,فرمول اویلر,,
Euler function,تابع اویلر,,
Euler graph → Eulerian graph,,,
Euler integral of the first kind,انتگرال نوع اول اویلر,,
Euler integral of the second kind → gamma function,,,
Euler method,روش اویلر,,
Euler path → Eulerian path,,,
Euler theorem on polyhedra,قضیۀ اویلر در چندوجهی‌ها,,
Euler transformation,تبدیل اویلر,,
Eulerian graph = Euler graph,گراف اویلری,,
Eulerian path = Euler path,مسیر اویلری,,
Euler-Poincare characteristic,مشخصۀ اویلر-پوانکاره,,
even function,تابع زوج,,
even number,عدد زوج,,
even permutation,جایگشت زوج,,
event,پیشامد,,
eventually periodic set,مجموعۀ نهایتاً دوره‌ای,,
everywhere dense set,مجموعۀ همه‌جا چگال,,
evolute of a curve,گستردۀ خم,,
evolution,ریشه‌یابی,,
exact differential → complete differential,,,
exact differential equation,معادلۀ دیفرانسیل کامل,,
exact differential form,صورت دیفرانسیل کامل,,
exact functor,تابعگون کامل,,
exact sequence,دنبالۀ کامل,,
exceptional compact simple Lie group,گروه لیِ سادۀ فشردۀ استثنایی,,
exchange integral,انتگرال تبادلی,,
excircle → escribed circle,,,
excluded middle,طرد شق ثالث,,
exclusive events,پیشامدهای مجزا، پیشامدهای ناسازگار,,
exclusive or,یای مانعۀالجمع، یای مانع جمع,,
exclusive principle,اصل رد,,
exhaustion method,روش افنا,,
existence and uniqueness theorem,قضیه وجود و یکتایی,,
existence theorem,قضیۀ وجود,,
existential quantifier,سور وجودی,,
expansion,بسط,,
expansion coefficients,ضریب‌های بسط,,
expectation → mathematical expectation,,,
expected value → mathematical expectation,,,
experiment,آزمایش,,
experimental analysis,تحلیل آزمایش,,
experimental design → design of an experiment,,,
experimenter,آزمایشگر,,
explicit function,تابع صریح,,
exploratory data analysis,تحلیل اکتشافی داده‌ها,,
exponent,نما,,
exponential curve,خم نمایی,,
exponential density function,تابع چگالی نمایی,,
exponential distribution,توزیع نمایی,,
exponential equation,معادلۀ نمایی,,
exponential function,تابع نمایی,,
exponential group,گروه نمایی,,
exponential growth,رشد نمایی,,
exponential integral = integral exponent2,انتگرال نمایی,,
exponential lattice,مشبّکۀ نمایی,,
exponential law = law of exponents,قانون نماها,,
exponential mapping,نگاشت نمایی,,
exponential series,سری نمایی,,
exposed point,نقطۀ نمایان,,
expression,عبارت,,
extended cycloid → prolate cycloid,,,
extended real numbers system,دستگاه گسترش‌یافتۀ اعداد حقیقی,,
extension 1,گسترش، توسیع,,
extension 2,مصداق,,
extension field,میدان گسترشی,,
extension of a field,گسترش میدان,,
exterior algebra,جبر برونی,,
exterior angle,زاویۀ برونی، زاویۀ خارجی,,
exterior content = outer content,قدر برونی,,
exterior derivative,مشتق برونی,,
exterior differential calculus,حساب دیفرانسیل برونی,,
exterior measure,اندازۀ برونی,,
exterior of a set,برون مجموعه,,
exterior point of a set,نقطۀ برونی مجموعه,,
exterior product 1,حاصل‏ضرب برونی,,
exterior product 2,ضرب برونی,,
external common tangent,مماس مشترک برونی، مماس مشترک خارجی,,
external division of a line segment,تقسیم برونی پاره‌خط,,
external language,زبان برونی,,
external operation,عمل برونی,,
external tangent,مماس برونی، مماس خارجی,,
extinction probability,احتمال انقراض,,
extinction time,زمان انقراض,,
extract a root,ریشه‏یابی,,
extraneous root,ریشۀ خارجی,,
extrapolation,برونیابی,,
extremal,فرینال، کرانگینی,,
extremal process,فرایند کرانگینی,,
